X,Y,OBJECTID,PARK_CAT,TMK,PARK_TYPE,PARK_NAME,MAIN_DIST,LINK_ID,LEGAL_ACRES,FIRST_BASEBALL,FIRST_SOFTBALL,FIRST_FOOTBALL,FIRST_SOCCER,FIRST_RUGBY,FIRST_BASKETBALL,FIRST_TENNIS,FIRST_VOLLEYBALL,FIRST_TETHERBALL,FIRST_GOLF,FIRST_COMM_GARDEN,FIRST_HIKING,FIRST_JOGGING,FIRST_EXERCIZE_FIELDS,FIRST_SKATING,FIRST_SKATEBOARDING,FIRST_OUTRIGGER_CANOE,FIRST_PICNICING,FIRST_CAMPING_TENT,FIRST_CAMPING_TRAILER,FIRST_CHILD_PLAYGROUND,FIRST_SWIMMING,FIRST_GYMNASTICS,FIRST_INDOOR_REC,FIRST_ART_WORK,FIRST_BLEACHER,FIRST_BUS_STOP,FIRST_COMM_GARDEN_PLOTS,FIRST_CONCESSION,FIRST_DRINKING_WATER,FIRST_EXERCISE_AREA,FIRST_HANDICAP_ACCESS,FIRST_HANDICAP_PARKING_STALLS,FIRST_HISTORIC_SITE,FIRST_LANDSCAPE,FIRST_LIFEGUARD_TOWERS,FIRST_LIGHTS,FIRST_PARKING_STALLS,FIRST_PAY_PHONE,FIRST_PICNIC_TABLES,FIRST_RESTROOM,FIRST_SHADE_TREE,FIRST_SHOWER,LANDWATCONSFUND,STAFFED,PHONE,TOTAL_ACRE,TOTAL_SQFT,TOTAL_ROOMS,MAINT_DIST,NEIGHBORHOOD,COUNCIL,FIRST_CITY,FIRST_NAME,FIRST_ZIP,FIRST_POOL_MANAGER,FIRST_POOL_PHONE,FIRST_POOL_ADDRESS
-157.68135123144026,21.28715798777333,14,1,,9,Koko Crater Botanical Garden,1,33,200,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,Y,,200,8712000,,1,1,3,Honolulu,400 Kealahou St,96825,,,
-157.697639133848952,21.267946462029968,15,1,39012005,8,Hanauma Bay Nature Preserve,1,34,50,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,T,T,F,T,T,T,F,T,F,T,T,T,T,T,T,,,396-0933 ,50,2178000,,1,1,4,Honolulu,7455 Kalanianaol,96825,,,
-157.763945571767067,21.422863360599067,16,1,44021054,14,Kaneohe Bay Drive B,4,355,0.13,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.13,5663,,4,,3,Kaneohe   ,Kaneohe Bay Drive            ,96744   ,,,
-158.037402694388959,21.680812091145931,17,4,58003039,7,Sunset Point Beach Park (undeveloped),4,381,0.93000001,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.93,40511,,4,,,Haleiwa   ,58-049 Makanale Street       ,96712   ,,,
-158.037315073071227,21.680420117323997,18,1,59001,14,Oopuola Street,4,207,0.09,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.09,3920,,4,27,2,Haleiwa   ,Oopuola Street               ,96712   ,,,
-158.038401331910592,21.678395450288356,19,1,59001,14,Kahauola Street,4,208,0.01,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.01,436,,4,27,2,Haleiwa   ,Kahauoloa Street             ,96712   ,,,
-158.137598260255032,21.583799071596488,20,1,68011042,14,Au Street A,4,158,0.04,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.04,1742,,4,27,2,Waialua   ,Au Street                    ,96791   ,,,
-158.140122343594754,21.583208543591297,21,1,68011038,7,Aweoweo Beach Park,4,368,1.42999995,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None     ,1.43,62291,,4,,2,Waialua  ,68-197 Au Street,96791    ,,,
-158.142848998521714,21.582718174061327,22,1,68012041,14,Au Street B,4,159,0.03,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.03,1307,,4,,2,Waialua   ,Au Street                    ,96791   ,,,
-158.189875156059799,21.581753546708516,23,1,68002001,7,Mokuleia Beach Park,3,24,38.49000168,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,T,F,T,F,T,,,None     ,38.49,1676624,,3,,,Waialua,68-919 Farrington Hwy.,96791,,,
-158.155338413916638,21.580282031286583,24,1,68004003,14,Crozier Drive,4,353,0.09,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.09,3920,,4,27,2,Waialua   ,Crozier Drive                ,96791   ,,,
-158.119727467253114,21.567070937907086,25,1,67006019,2,Kamananui Neighborhood Park,4,114,0.63999999,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.64,27878,,4,27,2,Waialua   ,67-369 Alahaka Place         ,96791   ,,,
-157.853381230836845,21.556676260103334,26,1,51012011,7,Swanzy Beach Park,4,20,4.82000017,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,T,T,F,T,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,T,T,T,F,T,F,F,,Y,237-8081,4.82,209959,,4,,2,Kaaawa    ,51-369 Kamehameha Highway    ,96730   ,,,
-157.846537069948312,21.545941196364179,27,1,51002025,7,Kaaawa Beach Park,4,19,2.02999997,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,F,,,None     ,2.03,88427,,4,,2,Kaaawa   ,51-392 Kamehameh,96730    ,,,
-157.845870816451225,21.545051246135063,28,1,51009009,7,Kalaeoio Beach Park,4,100,0.81,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,,,None    ,0.81,35284,,4,,,Kaaawa    ,51-237 Kamehameha Highway    ,96730   ,,,
-158.019396189179417,21.511436314270245,29,1,71006077,3,Whitmore Community Park,3,298,0.92000002,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,T,F,F,,Y,622-2420,0.92,40075,,3,26,2,Wahiawa   ,1259 Whitmore Avenue         ,96786   ,,,
-158.01967049214241,21.510659687560004,30,1,71004023,2,Whitmore Neighborhood Park,3,162,2.28999996,F,F,F,F,F,T,F,T,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,T,F,,Y,None    ,2.29,99752,,3,26,2,Wahiawa   ,1277 East Nani Ihi Avenue    ,96786   ,,,
-158.027199906498339,21.509946707645884,31,1,71009064,2,Kahi Kani Neighborhood Park,3,363,2.6400001,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,2.64,114998,,3,26,2,Wahiawa   ,885 Whitmore Avenue          ,96786   ,,,
-157.877044914539056,21.327439282479908,32,1,15025002,4,Kalakaua District Park,2,29,7.76999998,F,F,F,F,F,T,T,T,F,F,F,F,F,F,T,T,F,F,F,F,T,F,T,T,F,F,F,F,F,F,F,F,T,F,T,F,T,T,F,F,T,T,F,,Y,832-7801,7.77,338461,,2,15,7,Honolulu  ,720 McNeil Street            ,96817   ,,,
-157.73836694150441,21.428082551975564,33,1,44039059,14,Milokai Place,4,326,0.03,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.03,1307,,4,31,3,Kaneohe   ,Milokai Place                ,96734   ,,,
-157.750649124982402,21.426002722793189,34,1,44003015,3,Aikahi Community Park,4,121,4.01999998,F,T,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,T,T,F,F,F,F,T,T,T,T,T,F,,Y,254-4678,4.02,175111,,4,31,3,Kailua,93 Kaneohe Bay D,96734,,,
-157.739912486343599,21.425491166861608,35,1,44039060,14,Kaimalino Street,4,327,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.05,2178,,4,31,3,Kaneohe   ,Kaimalino Street             ,96734   ,,,
-158.102688662455506,21.597155901079578,36,1,62003022,6,Haleiwa Regional Park,4,192,3.4000001,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,,,,,,,,,,Haleiwa  ,62-494 Kamehameh,96712    ,,,
-157.663964546834137,21.292118435064467,37,3,39010042,12,Ka Iwi (Hawaii Kai) Park (future),1,9037,29.65999985,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,,,,,,,,,,Honolulu ,,96795    ,,,
-157.856044723847674,21.557400659385131,38,1,51003003,7,Makaua Beach Park,4,109,0.141,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,Kaaawa    ,51-541 Kamehameha Highway    ,96730   ,,,
-157.805897237479485,21.430589265004301,39,1,,14,Alii Landing Shoreline Access,4,384,0.005,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,Honolulu ,2550 Likelike Hi,96819    ,,,
-158.031864514988598,21.392158646727452,40,1,,2,Kupuohi Neighborhood Park,3,407,9.05000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05,394218,,3,22,,,,,,,
-157.694110131305024,21.277877903785264,41,1,,4,Koko Head District Park,1,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395-3096,40,1742400,,1,1,3,,,,,,
-158.193561730701191,21.450206759585235,42,1,85002049,4,Waianae District Park,3,331,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,22.92,,,,,,,,,,,
-158.11886077740445,21.317160821120563,43,1,91074039,14,Kaiholo St,3,481,6.92999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-157.821109065351891,21.27381709488558,44,1,,1,Kuhio Mini Park #1,1,462,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.1,4830,,,,,,,,,,
-158.177812858378303,21.580151535127005,45,1,68010012,14,Hoomana Place ,4,404,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.03,1307,,4,,,,,,,,
-158.067053023358767,21.320444813467255,46,1,,12,Pointer Fields,3,483,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-158.037760903359214,21.337243438944867,47,1,,4,Ewa Mahiko District Park,3,113,27.05999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-157.82227506842753,21.26829689728606,48,1,,7,Kapiolani Beach Park,1,452,7.05200005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-157.696755586413758,21.335792483390463,49,1,,14,Alaihi St,4,477,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-157.696210777771313,21.334975180756484,50,1,,14,Puuone St,4,478,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-157.695647323181191,21.334127911375319,51,1,,14,Wailea St,4,479,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-157.991450729656407,21.476616376283978,52,1,,3,Mililani Mauka Community Park,3,62,12.84000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-158.121981628116316,21.327564915206441,53,3,91057017,7,Ko Olina Beach Park (future),3,160,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-158.085858187921076,21.617679582690819,54,4,,7,Laniakea Beach Support Park (undevel),4,191,1.88999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-158.005085100296043,21.409430672010604,55,1,94005074,6,Patsy T. Mink Central Oahu Regional Park,5,141,267.354,T,T,T,T,T,,T,,,,,,,,,,,,,,T,T,,,T,T,T,,T,T,,,,,,,T,T,,,T,T,,,Y,676-6982,,,,,22,8,,,,,,
-157.733341268029221,21.399228774546369,56,1,,14,South Kalaheo at Kuuniu Street,4,390,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,
-158.073837574064299,21.628299124057744,57,4,,7,Leftovers Beach Access Park (undevel),4,263,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-158.154788364914708,21.579747017198134,58,1,,14,Crozier Drive Brow Parking,4,403,0.23999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-158.069787179120851,21.633727784734738,59,4,,7,Uppers Surfing Support Park (undevel),4,270,0.69999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-158.05482169260307,21.66091501762093,60,1,,14,Banzai Rock,4,402,0.30000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-157.893397487973857,21.349516306015982,61,1,11009006,3,Moanalua Community Park,2,133,7.59000015,F,T,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,T,F,F,T,T,F,T,F,F,F,F,F,T,F,F,T,F,T,F,F,T,F,T,T,T,F,,Y,831-7105 ,7.59,330620,,2,17,8,Honolulu,1289 Mahiole St,96819,Dyanne Taylor,831-7106,2900 Moanalua Rd
-157.810300253250603,21.411051767683542,62,1,45023009,4,Kaneohe District Park,4,239,31.37000084,T,T,F,T,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,F,F,F,F,F,T,F,T,T,F,T,F,F,T,T,F,T,F,F,,Y,233-7312,31.37,1366477,,4,30,3,Kaneohe  ,45-660 Keaahala ,96744    ,Cathy Lyon,233-7311,45-660 Keaahala Rd
-157.803548031716161,21.275824595517147,63,1,32025001,3,Kapaolono Community Park,1,77,5.5,F,F,F,T,F,T,T,T,F,F,F,F,F,F,F,F,F,T,F,F,T,T,F,T,F,F,F,F,F,F,F,F,T,T,T,F,T,T,T,F,T,T,F,,Y,733-7370,5.5,239580,,1,4,4,Honolulu,701 11th Avenue,96816,Jeaneen Heldt,733-7369,701 11th Ave
-157.963594193709412,21.402288944035551,64,1,97036123,4,Pearl City District Park,3,112,9.94999981,F,F,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,F,F,F,F,F,F,F,F,T,F,F,F,T,T,T,F,T,F,F,,Y,453-7550,9.95,433422,,3,21,8,Pearl City,785 Hoomaemae Street         ,96782   ,Ross Satsuma,453-7552,785 Hoomaemae Rd
-157.953196446967894,21.426344290635747,65,1,97093016,3,Pacific Palisades Community Park,3,167,8.42000008,F,T,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,F,T,T,F,T,F,F,,Y,453-7557 ,8.42,366775,,3,21,8,Pearl Cit,2299 Auhuhu Stre,96782    ,,,
-158.173493698971242,21.420026867650176,66,1,87004042,3,Maili Community Park,3,173,3.68000007,F,F,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,T,T,F,,Y,696-4766,3.68,160301,,3,24,1,Waianae   ,87-360 Kulaaupuni Street     ,96792   ,,,
-157.763965260544438,21.417190207305609,67,1,44012067,2,Keaalau Neighborhood Park,4,314,3.74000001,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,,,None    ,3.74,162914,,4,30,3,Kaneohe   ,44-500 Kaneohe Bay Drive     ,96744   ,,,
-157.832004367711477,21.289799134135553,68,1,27003048,1,Frank C. Judd Mini Park,1,280,0.37,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,T,F,T,F,,,None     ,0.37,16117,,1,8,5,Honolulu ,2008 Kapiolani B,96826    ,,,
-157.82301160553979,21.289247518498762,69,1,27016,1,Kaaha Street Mini Park,1,371,0.16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,,,None    ,0.16,6970,,1,8,5,Honolulu  ,2630 Kaaha Street            ,96826   ,,,
-158.024862477350268,21.688815039915177,70,4,57005013,7,Waialee Beach Park (undeveloped),4,359,25.64999962,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None     ,25.65,1117314,,4,,,Kahuku   ,58-211 Kamehameh,96731    ,,,
-158.038694687252502,21.677080080227441,71,1,59001,14,Huelo Street,4,209,0.03,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.03,1307,,4,27,2,Haleiwa   ,Huelo Street                 ,96712   ,,,
-157.94992386366107,21.676069300255527,72,1,56006015,4,Kahuku District Park,4,336,15.85999966,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,T,F,F,,Y,None     ,15.86,690862,,4,28,2,Kahuku   ,56-170 Pualalea ,96731    ,,,
-158.039154331958571,21.674266739527045,73,1,59015011,7,Sunset Beach Support Park,4,383,2.05999994,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None     ,2.06,89734,,4,27,2,Haleiwa  ,59-104 Kamehameh,96712    ,,,
-158.044097072130626,21.671257265305872,74,1,59002,14,Ke Nui Road A,4,210,0.12,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.12,5227,,4,27,2,Haleiwa   ,Ke Nui Road                  ,96712   ,,,
-158.045479130770701,21.670130726099455,75,1,59002,14,Ke Nui Road B,4,211,0.14,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.14,6098,,4,27,2,Haleiwa   ,Ke Nui Road                  ,96712   ,,,
-158.047879378555308,21.667544875639404,76,1,59019,14,Ke Nui Road D,4,217,0.04,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.04,1742,,4,27,2,Haleiwa   ,Ke Nui Road                  ,96712   ,,,
