objectid,site_label,site_name,url,legislation,har_link,statute_link,mma_type,mma_designation,location,permitted,prohibited,exceptions_and_permits,penalty,additional_information,st_areashape,st_perimetershape
11,Mānele - Hulopo‘e Marine Life Conservation District: Zone A (Hulopo‘e Bay),Manele-Hulopoe MLCD: Zone A (Hulopoe Bay),http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/lanai-manele-hulopoe/,HAR 13-30,http://dlnr.hawaii.gov/dar/files/2014/05/ch30.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD is divided into two subzones. Subzone A extends from the highwater mark seaward to a line from Kaluako‘i Point to Flat Rock, then to Pu‘u Pehe Rock. Subzone B extends from the highwater mark seaward to a line from Pu‘u Pehe Rock to Kalaeokahano Point.","To fish for, take, or possess any finfish or ‘a‘ama crab by pole-and-line from the shoreline only. To possess the following gear: pole-and-line, one knife, one hand net with frame no more than 3 feet in diameter (excluding handle), any legal fishing gear while on a vessel transiting to or from Mānele Boat Harbor within the harbor channel or the harbor, but that fishing gear may not be in the water. With a permit, to engage in activities otherwise prohibited by law for scientific, for propagation, or other purposes.","To fish for, take, or injure any marine life (including eggs), except as indicated in “Permitted activities” above. To take or alter any sand, coral, or other geological feature or specimen. To operate, anchor, or moor any vessel within Subzone A. (Manually-propelled Hawaiian outrigger canoes may be operated, but not anchored or moored, in the Subzone.) To operate, anchor, or moor a vessel in such a way as to damage marine life or geological features anywhere in the MLCD.","The department may issue permits to engage in activities otherwise prohibited by law and section 13-30-2 for scientific, propagation, or other purposes in accordance with chapter 190 and section 187A-6, Hawaii Revised Statutes, provided that: (1) The board may impose terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes; (2) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (3) A person whose permit was revoked shall not be eligible to apply for another permit until one year from the date of revocation. ","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be guilty of a petty misdemeanor, and punished as provided by law.",,692738.758628072,5916.10280337078
12,Molokini Shoal Marine Life Conservation District: Zone A,Molokini Shoal MLCD: Zone A,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/maui-molokini-shoal/,HAR 13-31,http://dlnr.hawaii.gov/dar/files/2014/05/ch31.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD is divided into two subzones. Subzone A includes the cove, bounded by a line extending from the end of the submerged ridge off Lalilali Point to Pahe‘e O Lono Point. Subzone B extends 100 yards seaward of the islet and Subzone A.","To fish for, take, or possess any finfish by trolling in Subzone B only. To possess in the water any knife and any shark billy, bang stick, powerhead, or carbon dioxide injector. With a permit, to engage in activities otherwise prohibited by law for scientific, propagation, or other purposes. To engage in commercial activities, excluding the taking of marine life, with a permit.","To fish for, take, or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life, except as indicated in “Permitted activities” above. To take or alter any sand, coral, or other geological feature or specimen, or possess in the water any device that may be used for the taking or altering of a geological feature or specimen. To feed or deliberately introduce any food material, substance, or attractant directly to or in the vicinity of any aquatic organism by any means or for any purpose except for trolling in Subzone B. To moor boats for commercial activities, except as provided for by a permit. To anchor boats when a day use mooring system is established by the Department. Note: Molokini is a state seabird sanctuary, and entry onto the islet is prohibited.","The department mayissue permits to engage in activities otherwise prohibited by law and section 13-31-3, under such terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes: (1) To take for scientific, propagation, or other purposes in conformance with chapter 190 and section 187A-6, Hawaii Revised Statutes, any form of marine life or eggs thereof otherwise prohibited by law; (2) Except as provided in chapter 13-257, subchapter 4, to engage in commercial activity, excluding the taking of marine life, with a marine life conservation district use permit. Each boat shall be required to obtain a separate permit. An applicant for this permit shall pay a non-refundable permit fee of $50 valid for a two-year duration. Prior to its expiration, the permittee may apply for reissuance. Unless the permit is reissued, it shall automatically expire on the expiration date. The permittee shall indemnify, defend, and hold harmless the State of Hawaii, its successors, assigns, officers, employees, contractors, and agents from and against any loss, liability, claim or demand for property damage, personal injury and death arising from any act or omission related to this permit; (3) An application for this permit shall be accepted only from a commercial operator who can demonstrate active commercial vessel operation within the Molokini shoal marine life conservation district within the twelvemonth period immediately prior to the effective date of these rules, and possesses a commercial vessel use permit for the use of state boating facilities issued in accordance with section 13-231-57, or a commercial vessel registration issued in accordance with section 13-256-4. No application for a permit shall be accepted after ninety days of the effective date of these rules; (4) The permit shall be incorporated as an addendum to the commercial vessel use permit for the use of state boatinq facilities issued in accordance with section 13-231-57, or a commercial vessel registration issued in accordance with section 13-256-4; (5) The permit shall be non-transferrable, except as providad by section 13-231-62; and (6) The board may revoke any permit for any infraction of the terms and conditions of the permit, and a person whose permit is revoked shall not be eligible to renew a permit until the expiration of one year from the date of revocation. ","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be punished as provided by law.",,160829.581692928,1555.12857966035
13,Molokini Shoal Marine Life Conservation District: Zone B,Molokini Shoal MLCD: Zone B,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/maui-molokini-shoal/,HAR 13-31,http://dlnr.hawaii.gov/dar/files/2014/05/ch31.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD is divided into two subzones. Subzone A includes the cove, bounded by a line extending from the end of the submerged ridge off Lalilali Point to Pahe‘e O Lono Point. Subzone B extends 100 yards seaward of the islet and Subzone A.","To fish for, take, or possess any finfish by trolling in Subzone B only. To possess in the water any knife and any shark billy, bang stick, powerhead, or carbon dioxide injector. With a permit, to engage in activities otherwise prohibited by law for scientific, propagation, or other purposes. To engage in commercial activities, excluding the taking of marine life, with a permit.","To fish for, take, or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life, except as indicated in “Permitted activities” above. To take or alter any sand, coral, or other geological feature or specimen, or possess in the water any device that may be used for the taking or altering of a geological feature or specimen. To feed or deliberately introduce any food material, substance, or attractant directly to or in the vicinity of any aquatic organism by any means or for any purpose except for trolling in Subzone B. To moor boats for commercial activities, except as provided for by a permit. To anchor boats when a day use mooring system is established by the Department. Note: Molokini is a state seabird sanctuary, and entry onto the islet is prohibited.","The department mayissue permits to engage in activities otherwise prohibited by law and section 13-31-3, under such terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes: (1) To take for scientific, propagation, or other purposes in conformance with chapter 190 and section 187A-6, Hawaii Revised Statutes, any form of marine life or eggs thereof otherwise prohibited by law; (2) Except as provided in chapter 13-257, subchapter 4, to engage in commercial activity, excluding the taking of marine life, with a marine life conservation district use permit. Each boat shall be required to obtain a separate permit. An applicant for this permit shall pay a non-refundable permit fee of $50 valid for a two-year duration. Prior to its expiration, the permittee may apply for reissuance. Unless the permit is reissued, it shall automatically expire on the expiration date. The permittee shall indemnify, defend, and hold harmless the State of Hawaii, its successors, assigns, officers, employees, contractors, and agents from and against any loss, liability, claim or demand for property damage, personal injury and death arising from any act or omission related to this permit; (3) An application for this permit shall be accepted only from a commercial operator who can demonstrate active commercial vessel operation within the Molokini shoal marine life conservation district within the twelvemonth period immediately prior to the effective date of these rules, and possesses a commercial vessel use permit for the use of state boating facilities issued in accordance with section 13-231-57, or a commercial vessel registration issued in accordance with section 13-256-4. No application for a permit shall be accepted after ninety days of the effective date of these rules; (4) The permit shall be incorporated as an addendum to the commercial vessel use permit for the use of state boatinq facilities issued in accordance with section 13-231-57, or a commercial vessel registration issued in accordance with section 13-256-4; (5) The permit shall be non-transferrable, except as providad by section 13-231-62; and (6) The board may revoke any permit for any infraction of the terms and conditions of the permit, and a person whose permit is revoked shall not be eligible to renew a permit until the expiration of one year from the date of revocation. ","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be punished as provided by law.",,194968.231822331,4265.87508628765
66,Moku Ho‘oniki - Lipoa Point Bottomfish Restricted Fishing Area (H),Moku Hooniki-Lipoa Pt (BRFA H),http://dlnr.hawaii.gov/dar/fishing/bottom-fishing/,"HAR 13-94, HAR 13-74",http://dlnr.hawaii.gov/dar/files/2014/05/ch94.pdf,N/A,FMA,Bottomfish Restricted Fishing Area,Between Maui and Moloka‘i,N/A,"Unlawful for any person to take or possess bottomfish while in a vessel that is drifting or anchored within any bottomfish restricted fishing area, except in times of emergency. Bottomfish species covered by these rules include: a) ‘ula‘ula koa‘e or onaga (Etelis coruscans); b) ‘ula‘ula or ehu (E. carbunculus); c) kalekale (Pristipomoides sieboldii); d) ‘ōpakapaka (P. filamentosus); e) ‘ūkīkiki or gindai (P. zonatus); f) hāpu‘u (Epinephelus quernus); and g) lehi (Aphareus rutilans). These species are often referred to as the “Deep 7.”",N/A,"A person violating this chapter, or the terms and conditions of any license or permit issued as provided by this chapter, shall be punished as provided by law.",,51215712.2524486,28640.1728221964
67,Kalaupapa Bottomfish Restricted Fishing Area (G),Kalaupapa (BRFA G),http://dlnr.hawaii.gov/dar/fishing/bottom-fishing/,"HAR 13-94, HAR 13-74",http://dlnr.hawaii.gov/dar/files/2014/05/ch94.pdf,N/A,FMA,Bottomfish Restricted Fishing Area,Moloka‘i,N/A,"Unlawful for any person to take or possess bottomfish while in a vessel that is drifting or anchored within any bottomfish restricted fishing area, except in times of emergency. Bottomfish species covered by these rules include: a) ‘ula‘ula koa‘e or onaga (Etelis coruscans); b) ‘ula‘ula or ehu (E. carbunculus); c) kalekale (Pristipomoides sieboldii); d) ‘ōpakapaka (P. filamentosus); e) ‘ūkīkiki or gindai (P. zonatus); f) hāpu‘u (Epinephelus quernus); and g) lehi (Aphareus rutilans). These species are often referred to as the “Deep 7.”",N/A,"A person violating this chapter, or the terms and conditions of any license or permit issued as provided by this chapter, shall be punished as provided by law.",,60493910.9747278,34931.3981681573
14,Old Kona Airport Marine Life Conservation District,Old Kona Airport MLCD,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/hawaii-old-kona-airport/,HAR 13-37,http://dlnr.hawaii.gov/dar/files/2014/05/ch37.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD includes the waters offshore of the Old Kona Airport State Park and adjacent private properties. It is bounded by a straight line seaward 500 yards from the western end of the park, to a straight line seaward 500 yards from the Kailua lighthouse. A “No Boating Zone” exists in the waters off the park as indicated.","To fish for, take, possess or remove akule by handline at night, and ‘ōpelu by lift or ‘ōpelu net method using bait or chum for commercial or home consumption. To fish for, take, possess or remove any finfish for home consumption by throw net or pole-and-line (without reel) with bait from shore. To collect wana, wana halula, and hā‘uke‘uke with hand tool, and without use of scuba gear, from June 1 to October 1. To use the state mooring not longer than three hours per boat each day on a first come, first served basis for non-commercial use. Commercial dive/tour operations may be conducted at the mooring and from shore with a permit. ","To fish for, take, injure, kill, possess or remove any marine life, including live sea shell and `opihi, live coral, algae or limu, or other marine life, or their eggs, except as indicated in permitted activities above. To take or alter any sand, shell, coral, rock or other geological feature or specimen, or to possess in the water any device that may be used for the taking or altering of marine life, geological feature or specimen. To feed or introduce any food material, substance or device as an attractant, directly to or in the vicinity of any aquatic organism except for the purpose of catching and removing that organism as permitted. To anchor a water craft in the MLCD, or operate a motorboat or other motor powered water craft within the “No Boating Zone” except for emergency or enforcement purposes. To conduct commercial dive/tour activities except as indicated in permitted activities above.","The department may issue permits to engage in activities otherwise prohibited by law or sections 13-37-2 and 13-37-3 under such terms and consitions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes: (1) To take for scientific, or propagation, any form of marine life or eggs thereof otherwise prohibited by law; and (2) To engage in commercial activity, not including the taking of marine life, with a Marine Life Conservation District Use Permit. This permit shall be non-transferable and good for a two year duration for activities in the daytime only, and not for overnight mooring. An applicant for this permit shall pay a non refundable permit fee of $50, and shall indemnify, defend, and hold harmless the State of Hawaii, its successors, assigns, officers, employees, contractors, and agents from and against any loss, liability, claim or demand for property damage, personal injury and death arising out of any act or omission under permit. The board may revoke any permit for any infraction of the terms and conditions of the permit, and a person whose permit is revoked shall not be eligible to apply for another permit until the expiration of one year from the date of revocation. ","A person violating the provisions of this chapter, or the terms and conditions of any permit issued as provided by this chapter, shall be punished as provided by section 190-5, Hawaii Revised Statutes. ","The board may institute a temporary moratorium on the taking of wana, wana halula or ha’uke’uke, if the board finds that said populations of sea urchins are found to be jeopardized by overharvesting or other factors. The temporary moratorium shall remain in effect until such time that the board determines that said populations of sea urchins are viable enough to resume harvesting practices. The board shall consider input from the department as well as the public when implementing this moratorium, and shall review its status annually from the beginning date of any instituted moratorium. ",1062973.27052377,5668.8085032314
15,Pūpūkea Marine Life Conservation District: Waimea Bay,Pupukea MLCD: Waimea Bay,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/oahu-pupukea/,HAR 13-34,http://dlnr.hawaii.gov/dar/files/2014/05/ch34.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD is located offshore of both beach parks, from the highwater mark seaward 100 yards along a line extending due west of Kulalua Point at the northern end of Pūpūkea Beach Park, then southerly to the most seaward exposed rock of the Wananapaoa Islets on the south side of Waimea Bay (including the islets), then due southeast to shore.","To take and possess up to two pounds (combined total, squeezed dry) of limu kohu and limu lipe‘epe‘e by hand harvest only, provided the limu’s holdfast is left in place. To possess a knife for personal safety only. Within Waimea Bay only: To take and possess any finfish with hook-and-line from the shoreline, with not more than two poles per person and one line per pole, with no more than two hooks per line. To take with legal nets and possess ‘ōpelu during August and September, and akule during November and December.","To fish for, take or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life, except as indicated in permitted activities above. To take or alter any sand, coral or other geological feature or specimen, or possess in the water any device that may be used for the taking or altering of a geological feature or specimen. To snag any akule while fishing from the shoreline of Waimea Bay according to “permitted” activities above.","The department may issue permits to engage in activities within the district, that may be otherwise prohibited by law and section 13-34-2, provided that: (1) The permits may be issued for scientific, propagation, or other purposes as provided by law, or as reasonably necessary to protect the public health, safety, and welfare; (2) The board may impose terms and conditions it deems necessary to carry out the purpose of chapter 190, HRS; (3) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (4) A person whose permit is revoked shall not be eligible to apply for another permit until the expiration of a specified period from the date of revocation as provided by law. ","A person violating the provisions of this rule or the terms and conditions of any permit issued as provided by this rule, shall be guilty of a petty misdemeanor, and may be subject to administrative penalties as provided by law.",,356578.469254805,2595.01737528646
16,Pūpūkea Marine Life Conservation District: Shark's Cove and Three Tables,Pupukea MLCD: Shark's Cove & Three Tables,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/oahu-pupukea/,HAR 13-34,http://dlnr.hawaii.gov/dar/files/2014/05/ch34.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD is located offshore of both beach parks, from the highwater mark seaward 100 yards along a line extending due west of Kulalua Point at the northern end of Pūpūkea Beach Park, then southerly to the most seaward exposed rock of the Wananapaoa Islets on the south side of Waimea Bay (including the islets), then due southeast to shore.","To take and possess up to two pounds (combined total, squeezed dry) of limu kohu and limu lipe‘epe‘e by hand harvest only, provided the limu’s holdfast is left in place. To possess a knife for personal safety only. Within Waimea Bay only: To take and possess any finfish with hook-and-line from the shoreline, with not more than two poles per person and one line per pole, with no more than two hooks per line. To take with legal nets and possess ‘ōpelu during August and September, and akule during November and December.","To fish for, take or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life, except as indicated in permitted activities above. To take or alter any sand, coral or other geological feature or specimen, or possess in the water any device that may be used for the taking or altering of a geological feature or specimen. To snag any akule while fishing from the shoreline of Waimea Bay according to “permitted” activities above.","The department may issue permits to engage in activities within the district, that may be otherwise prohibited by law and section 13-34-2, provided that: (1) The permits may be issued for scientific, propagation, or other purposes as provided by law, or as reasonably necessary to protect the public health, safety, and welfare; (2) The board may impose terms and conditions it deems necessary to carry out the purpose of chapter 190, HRS; (3) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (4) A person whose permit is revoked shall not be eligible to apply for another permit until the expiration of a specified period from the date of revocation as provided by law. ","A person violating the provisions of this rule or the terms and conditions of any permit issued as provided by this rule, shall be guilty of a petty misdemeanor, and may be subject to administrative penalties as provided by law.",,350260.020690489,5067.82853483947
17,Ka‘ūpūlehu Marine Reserve,Kauplehu Marine Reserve,http://dlnr.hawaii.gov/dar/fishing/fishing-regulations/regulated-areas/regulated-fishing-areas-on-hawaii/#west-hawaii-regional-fishery-management-area,HAR 13-60.4,http://dlnr.hawaii.gov/dar/files/2014/05/ch60.4.pdf,N/A,MR,Marine Reserve,"Identified on shore to the north by the northern boundary of the Ka‘ūpūlehu ahupua‘a and to the south by the southern side of Kikaua Point (south of Kūki‘o Bay), and bounded by the following coordinates as given in the administrative rule: 19° 51.011’ N, 155° 58.111’ W (Northern Landward); 19° 49.209’ N, 156° 00.132’ W (Southern Landward); 19° 53.817’ N, 156° 00.994’ WW (Northern Seaward); 19° 51.724’ N, 156° 03.947’ W (Southern Seaward)","Limited fishing, as indicated in prohibited activities below. ","To take any aquatic life, except the following may be taken seaward of the 20-fathom depth contour: ʻōpakapaka, kalekale, lehi, gindai, onaga, ehu, hāpuʻupuʻu, uku, taʻape, roi, toau, nabeta, aku, ahi, and tombo, aʻu, ono, and mahimahi by hook-and-line; also Kona crab by Kona crab net. See administrative rule for species names. To posess any marine life except as indicated above. Possess or use any fishing gear other than hook-and-line and/or Kona crab net. Deploy any fishing gear shoreward of the 20 fathom depth contour. 
.","The department may issue permits in accordance with sections 187A-6 and 188-53, Hawaii Revised Statutes, for the take of non-native or invasive species of fish and invasive algae from the Ka‘ūpūlehu Marine Reserve.","Any person violating any provision of this chapter, or any term or condition of any permit issued pursuant to this chapter, shall be subject to the provisions of sections 187A-12.5 and 188-70, Hawaii Revised Statutes, or as may be otherwise provided by law.",Visit the website or administrative rules for lay net registration and use requirements and details on aquarium permitting restrictions.,3907693.72926693,15566.0200463964
18,Ka‘ūpūlehu Marine Reserve,Kauplehu Marine Reserve,http://dlnr.hawaii.gov/dar/fishing/fishing-regulations/regulated-areas/regulated-fishing-areas-on-hawaii/#west-hawaii-regional-fishery-management-area,HAR 13-60.4,http://dlnr.hawaii.gov/dar/files/2014/05/ch60.4.pdf,N/A,MR,Marine Reserve,"Identified on shore to the north by the northern boundary of the Ka‘ūpūlehu ahupua‘a and to the south by the southern side of Kikaua Point (south of Kūki‘o Bay), and bounded by the following coordinates as given in the administrative rule: 19° 51.011’ N, 155° 58.111’ W (Northern Landward); 19° 49.209’ N, 156° 00.132’ W (Southern Landward); 19° 53.817’ N, 156° 00.994’ WW (Northern Seaward); 19° 51.724’ N, 156° 03.947’ W (Southern Seaward)","Limited fishing, as indicated in prohibited activities below. ","To take any aquatic life, except the following may be taken seaward of the 20-fathom depth contour: ‘ōpakapaka, kalekale, lehi, gindai, onaga, ehu, hāpu‘upu‘u, uku, ta‘ape, roi, toau, nabeta, aku, ahi and tombo, a‘u, ono, and mahimahi by hook-and-line; also Kona crab by Kona crab net. See administrative rule for species names. To possess any marine life except as indicated above. Possess or use any fishing gear other than hook-and-line and/or Kona crab net. To deploy any gear shoreward of the 20-fathom depth contour. ","The department may issue permits in accordance with sections 187A-6 and 188-53, Hawaii Revised Statutes, for the take of non-native or invasive species of fish and invasive algae from the Ka‘ūpūlehu Marine Reserve.","Any person violating any provision of this chapter, or any term or condition of any permit issued pursuant to this chapter, shall be subject to the provisions of sections 187A-12.5 and 188-70, Hawaii Revised Statutes, or as may be otherwise provided by law.",Visit the website or administrative rules for lay net registration and use requirements and details on aquarium permitting restrictions.,36180600.5999055,25557.5487406388
21,Port Allen Fisheries Management Area,Port Allen FMA,http://dlnr.hawaii.gov/dar/fishing/fishing-regulations/regulated-areas/regulated-fishing-areas-on-kauai/#port-allen,HAR 13-49.5,http://dlnr.hawaii.gov/dar/files/2014/05/ch49.5.pdf,N/A,FMA,Fisheries Management Area,"The regulated region of the Port Allen Fisheries Management Area is that portion of the Port Allen waters, from the highwater mark seaward, bounded by a straight line from the tip of the main breakwater northward to the bend in the breakwater of the small boat harbor, as shown.",N/A,"To use any net, except a landing net not more than 3 feet in any dimension, excluding handle. To snag any fish. To take or possess more than 75 akule per person per day.","The department may issue permits to engage in activities otherwise prohibited by law and section 13-49.5-2 in accordance with sections 187A-6 and 188-53, Hawaii Revised Statutes, provided that: (1) The board may impose terms and conditions it deems necessary to carry out the purpose of section 188-53, Hawaii Revised Statutes; (2) The board may revoke any permit for any infraction of the terms and conditions of the permit; (3) A person whose permit was revoked shall not be eligible to apply for another permit until one year after the date of revocation; and (4) The department may limit the permits to purposes of public health, safety, and welfare, for resource management, or as described in section 187A-6, HRS.  ","A person violating the provisions of this chapter shall be guilty of a petty misdemeanor, subject to administrative penalties, and punished as provided by law.",,102319.37814558,2449.54490156887
19,Waikīkī - Diamond Head Shoreline Fisheries Management Area,Waikiki-Diamond Head Shoreline FMA,http://dlnr.hawaii.gov/dar/fishing/fishing-regulations/regulated-areas/regulated-fishing-areas-on-oahu/#waikiki-diamond-head-shoreline-fisheries-management-area,HAR 13-48,http://dlnr.hawaii.gov/dar/files/2014/05/ch48.pdf,N/A,FMA,Fisheries Management Area,"The Waikīkī-Diamond Head Shoreline Fisheries Management Area extends from the ewa wall of the Waikīkī War Memorial Natatorium to the Diamond Head Lighthouse, from the highwater mark out to a minimum seaward distance of 500 yards, or to the seaward edge of the fringing reef if one occurs beyond 500 yards.","To fish for, take or possess any legal size marine life in season during the “open to fishing” period, provided that only hook-and-line, thrownet, handnet to land hooked fish, and spear fishing and hand harvesting methods are employed. With a permit to engage in activities otherwise prohibited by law for scientific, propagation or other purposes. ","To fish for, take or injure any marine life (including eggs), or to possess in the water any fishing gear during the “closed to fishing” period.  To take, injure, kill, possess, or remove live coral at any time includinq the ""open to
fishing"" period. To use any spear between the hours of 6:00 pm to 6:00 am, or have or possess in the water any trap or net except thrownet or handnet to land hooked fish during the “open to fishing” period. ","The department may issue permits to engage in activities otherwise prohibited by law and section 13-48-3 for scientific, propagation, or other purposes not inconsistent with sections 187A-6 and 188-53, Hawaii Revised Statutes, provided that: (1) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (2) A person whose permit was revoked shall not be eligible to apply for another permit until one year after the date of revocation. ","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be guilty of a petty misdemeanor, and upon conviction thereof, shall be punished as provided by law. ","Fishing periods: (1) ""Open to fishing"" commencing on March 1, 1988 and terminating on December 31, 1988 at midnight; (2) ""Closed to fishing"" commencing on January 1, 1989 and terminating on December 31, 1989 at midnight; and (3) Henceforth, such ""open to fishing"" and ""closed to fishing"" periods shall be consecutively alternated on a yearly basis commencing on January 1, 1990. ",967168.306270949,5333.91956589885
20,Waimea Bay and Waimea Recreational Pier Fisheries Management Area,Waimea Bay & Waimea Recreational Pier FMA,http://dlnr.hawaii.gov/dar/fishing/fishing-regulations/regulated-areas/regulated-fishing-areas-on-kauai/#waimea-bay-and-waimea-recreational-pier,HAR 13-50,http://dlnr.hawaii.gov/dar/files/2014/05/ch50.pdf,N/A,FMA,Fisheries Management Area,Waimea Recreational Pier is a public fishing pier located in Waimea Bay on the southern coast of Kaua‘i. The Waimea Recreational Pier is a facility of the Division of State Parks. Rules of the State Park System also apply to the use of the facility.,N/A,"Within 50 yards of the Waimea Recreational Pier, to use any spear, trap or any type of net except crab net. While on Waimea Recreational Pier, to – possess more than two fishing poles with one line each, or fish with more than two fishing lines, or leave any unattended fishing line in the water; – possess any thrownet; – reserve or occupy any space between the marks other than the one space personally occupied for fishing; or – fish from any space between the marks already occupied by a fisherman.",N/A,"A person violating the provisions of this chapter shall be guilty of a petty misdemeanor, and upon conviction thereof, shall be punished as provided by law.",,12656.8096013603,642.885207492885
22,Nāwiliwili Harbor Fisheries Management Area,Nawiliwili Harbor FMA,http://dlnr.hawaii.gov/dar/fishing/fishing-regulations/regulated-areas/regulated-fishing-areas-on-kauai/#nawiliwili-harbor,HAR 13-49.6,http://dlnr.hawaii.gov/dar/files/2014/05/ch49.6.pdf,N/A,FMA,Fisheries Management Area,"The regulated region of the Nāwiliwili Harbor Fisheries Management Area is that portion of the harbor, from the highwater mark seaward, bounded by a straight line from the southernmost tip of the western pier northeast to the corner formed where pier 1 meets the eastern pier, as shown.",N/A,"To use any net, except a landing net not more than 3 feet in any dimension, excluding handle. To snag any fish. To take or possess more than 75 akule per person per day.","The department may issue permits to engage in activities otherwise prohibited by law and section 13-49.6-2 in accordance with sections 187A-6 and 188-53, Hawaii Revised Statutes, provided that: (1) The board may impose terms and conditions it deems necessary to carry out the purpose of section 188-53, Hawaii Revised Statutes; (2) The board may revoke any permit for any infraction of the terms and conditions of the permit; (3) A person whose permit was revoked shall not be eligible to apply for another permit until one year after the date of revocation; and (4) The department may limit the permits to purposes of public health, safety, and welfare, for resource management, or as described in section 187A-6, HRS.","A person violating the provisions of this chapter shall be guilty of a petty misdemeanor, subject to administrative penalties, and punished as provided by law.",,132858.072366292,2007.13868517387
24,Kawaihae Harbor Fisheries Management Area,Kawaihae Harbor FMA,http://dlnr.hawaii.gov/dar/fishing/fishing-regulations/regulated-areas/regulated-fishing-areas-on-hawaii/#kawaihae-harbor,HAR 13-55,http://dlnr.hawaii.gov/dar/files/2014/05/ch55.pdf,N/A,FMA,Fisheries Management Area,"Kawaihae Harbor is located at Kawaihae, South Kohala, on the northwest coast of the island of Hawai‘i. Restrictions apply to the south small boat basin as indicated in the map at right.","To take any legal size fish in season with not more than two lines, or two poles or rods and lines. To use hand nets not exceeding three feet in any dimension to take shrimp or nehu for bait purposes, or to land fish already hooked.","To snag or attempt to snag any fish. To use any type of net, including lay nets, except handnets as indicated in permitted activities above.","The department may issue permits to engage in activities otherwise prohibited by law or section 13-55-2 for scientific, propagation, or other purposes as provided by law, provided, however: (1) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (2) A person whose permit is revoked shall not be eligible to apply for another permit until the expiration of a specified period from the date of revocation as provided by law.","Any person violating the provisions of this chapter, or the terms and conditions of any permit issued as provided by this chapter, shall be punished as provided by section 188-70, Hawaii Revised Statutes.",,9728.67893252788,454.622823694608
27,Keauhou Bay Fisheries Management Area,Keauhou Bay FMA,http://dlnr.hawaii.gov/dar/fishing/fishing-regulations/regulated-areas/regulated-fishing-areas-on-hawaii/#keauhou-bay,HAR 13-57,http://dlnr.hawaii.gov/dar/files/2014/05/ch57.pdf,N/A,FMA,Fisheries Management Area,The Keauhou Bay Fisheries Management Area is that portion of the bay bounded by a straight line drawn from Haiku‘ua Point to Kaukala‘ela‘e Point.,"To take any legal size fish in season with not more than two lines at the same time. To use hand nets not exceeding three feet in any dimension to take shrimp for bait purposes only, or to land fish already hooked. To use thrownets in the zone bounded by a straight line from “Doc Hill” to the north end stairs in the wall fronting the volleyball court, as shown in the map above.","To snag or attempt to snag any fish. To use or possess nets, except as indicated in permitted activities above. To herd or chase any fish out of the area by swimming, diving or using a boat. To engage or attempt to engage in fish feeding.","The department may issue special activity permits to engage in activities otherwise prohibited by law or section 13- 57-2, for scientific, propagation, or other purposes as provided by section 187A-6, Hawaii Revised Statutes, provided, however: (1) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (2) A person whose permit is revoked shall not be eligible to apply for another permit until the expiration of one year from the date of revocation.","Any person violating the provisions of this chapter, or the terms and conditions of any permit issued as provided by this chapter, shall be punished as provided by section 188- 70, Hawaii Revised Statutes.",,78118.5203970942,1589.15971102418
