objectid,trail_num,nah,island,quad,district,yrcreated,length_mi,elev_range,st_access,start_pt,end_pt,standard,climate,tspt_type,features,amenities,use_rest,hazards,comments,trailname,st_lengthshape
9,KA 07 002,Y,Kauai,07 10,Kawaihau,1970s,2.0999999,640,2-Wheel Drive,Keahua Arboretum on Hwy 580,Moalepe Trail,Moderate,Mild,"Foot, Bicycle, Horse","Hike, Hunt, Nature Study, Scenic View, Stream","Bridges, Parking, Shelters, Tables, Toilets",Day,Hunters, ,Kuilau Trail,3058.59328687106
10,KA 04 003,Y,Kauai,04,Waimea,Ancient,3,720,Foot,1/2 mile up Waimea River,Lonomea Camp,Moderate,Mild,"Foot, Horse","Archaeology, Fish, Hike, Hunt, Stream","Camping, Shelters, Tables, Toilets",None,"Landslides, Hunters, Flooding, Cliffs",Camping permit required.  Mosquitoes!,Koaie Canyon Trail,3982.17229673007
11,KA 10 006,Y,Kauai,10,Kawaihau,1930s,1.5,800,2-Wheel Drive,Hwy 581,Sleeping Giant (Nounou Mountain),Difficult,Mild,Foot,"Nature Study, Hike","Tables, Shelters",Day,Cliffs, ,Nounou Trail (West),1555.11798360229
93,HA 66 002,Y,Hawaii,66,South Hilo,1978,0.5,15,2-Wheel Drive,Rain shelter in Botanical Garden,Onomea Bay Shoreline near stream,Easy,Mild,Foot,"Hike, Nature Study, Ocean, Stream","Toilet, Table, Bridge, Shelter, Wheelchair","Pvt Access, Permit, Day,Time, Numbers",None,Fee.  Access by H.T.B.G. vehicle only.,Onomea Old Government Road,433.056406185589
14,KA 04 006,Y,Kauai,04,Waimea,1920s,2.5,2240,2-Wheel Drive,8.7 mi on Hwy 550 at Iliau Loop,"Wiliwili Camp, Waimea River",Difficult,Mild,Foot,"Fish, Hike, Hunt, Nature Study, Stream","Camping, Shelters, Tables, Toilets",None,"Hunters, Landslides, Flooding, Cliffs",Trailhead sign-in.  Camping permit.,Kukui Trail,3192.2741055589
15,KA 10 007,Y,Kauai,10,Kawaihau,1930s,2,320,2-Wheel Drive,2.3 mi on Hwy 580,Nounou-West Trail,Easy,Mild,"Foot, Bicycle, Horse","Nature Study, Hike","Tables, Bridges, Shelters, Parking",Day,None, ,Kuamoo-Nounou Trail,2528.09808746575
16,KA 05 001,Y,Kauai,05 02 04,Waimea,Ancient,7,780,2-Wheel Drive,End of Menehune Road or Kukui Trail,Koaie Stream junction,Moderate,Mild,"Foot, Bicycle, Horse","Hunt, Nature Study, Stream","Camping, Shelters, Tables, Toilets",Permits,"Landslides, Hunters, Footing, Flooding, Cliffs",Game Management Entry Permit required.,Waimea Canyon Trail,12776.5233988498
17,KA 04 008,Y,Kauai,04,Waimea,Unknown,11,3260,Foot,End of Menehune Road,Waialae Cabin,Difficult,Mild,"Foot, Horse","Fish, Hike, Hunt, Nature Study, Stream","Camping, Firepit, Shelters, Tables, Toilets",Permits,"Cliff, Flood, Hunter, Landslide, Narow Trl, Rocks",Game Management Area Entry Permit Req.,Puu Ki-Waialae Trail,14078.2080565737
18,KA 07 001,Y,Kauai,07 06,"Kawaihau, Hanalei",1906,11.19999981,1568,2-Wheel Drive,Kapaka St from Princeville Stables,Keahua Forestry Arboretum,Difficult,"Mild, Wet","Foot, Bicycle, Horse, Motorcycle","Hike, Hunt, Nature Study, Scenic View",None,Day,Hunters,"Steep, eroded, slippery at saddle.",Powerline Trail,16654.2107650317
24,OA 08 019,Y,Oahu,08,Koolauloa,1898,2.5,800,2-Wheel Drive,End of Maakua Road,Same as start,Moderate,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt, Archery, Wildlife","Bench, Camp, Tables, Shelter",None,"Hunters, Footing",Camping permit - DOFAW,Maakua Ridge Trail,3966.42557305542
19,KA 03 034,Y,Kauai,03 04,Waimea,1930s,2.5,167,4-Wheel Drive,5.4 mi on Mohihi-Camp 10 Road,3353-foot elev. on Kohua Ridge,Moderate,Mild,Foot,"Fish, Hunt, Nature Study, Stream",None,Day,"Floods, Cliffs, Hunters","Steep grades first 0.5 mi; rest easy.",Kohua Ridge Trail,3556.54384956815
20,KA 03 035,Y,Kauai,03 04,Waimea,1930s,4,880,4-Wheel Drive,End of Mohihi-Camp 10 Road,Waialae Cabin,Difficult,"Cold, Wet",Foot,"Bio. Sens., Fish, Hike, Hunt, Stream","Camping, Shelters, Tables, Toilets",None,"Hunters, Flooding",Map and compass skills recommended.,Mohihi-Waialae Trail,5486.77630935334
22,OA 08 007,Y,Oahu,08,"Waialua, Wahiawa",1930's,3.5,800,4-Wheel Drive,End of Jeep Road,Koolau Ridge,Moderate,Mild,"Foot, 4WD, Bicycle","Hike, Nature Study, Hunt",Camping,"Private access, time, permit","Hunters, Footing, Blind Corner, Narrow Trail","Permit-DOFAW, Waialua Sugar, Dole, Army",Poamoho Trail,3332.03922318119
23,OA 13 036,Y,Oahu,13,Honolulu,Unknown,0.80000001,800,2-Wheel Drive,End of Manoa Road,Manoa Falls,Easy,"Mild, Wet","Foot, Bicycle","Hike, Nature Study, Stream, Waterfall","Parking, Bench, Bridge, Toilets, Trash Cans",None,"Cliff, Footing, Rocks, Floods, hunters, Landslides","Makiki-Tantalus cplx, Maint by Operation",Manoa Falls Trail,1244.66266272868
21,OA 01 005,Y,Oahu,01,Waialua,Unknown,6,500,2-Wheel Drive,Kaena Pt. Tracking Station Rd.,"Past Peacock Flats, Mokuleia Trail",N/A,Mild,"4WD, Foot, Bicycle","Hike, Nature Study, Hunt",None,Permit,"Footing, Hunters","permit-DOFAW, Rd. starts at Manini Gulch",Mokuleia-Kuaokala Firebreak Access Road,13414.185771902
48,MO 04 004,Y,Molokai,04,Molokai,Unknown,3.29999995,500,4-Wheel Drive,Main F.R. Rd-before Waikolu lookout,Kahanui Flats,N/A,"Mild, Wet",4WD,Hunt,None,None,"Hunters, Footing, Floods",Waikolu Gulch east of road. 2 branch rds,Kahanui Road Complex,2445.21621400648
25,OA 01 006,Y,Oahu,01,Waialua,Unknown,2.5,1600,2-Wheel Drive,Behind Dillingham AFB-West Gate,Kealia Rd to F.R. Mauka Rd,Moderate,"Hot, Dry","Foot, bike, 4WD above switchback","Hike, Nature Study, Hunt, Jeep","Parking, Tables, Shelter",None,"Footing, Hunters, Blind corner, Cliff, Rocks, Fire","Windy, access to Peacock Flat via Kealia",Kealia Trail,1750.78143609874
26,OA 13 023,Y,Oahu,13,Honolulu,Unknown,0.75,200,2-Wheel Drive,Nuuanu Pali Dr. Reservoir Spillway,Same as start,Easy,Mild,Foot,"Hike, Nature Study, Stream, Hunt",Parking,None,"Floods, Footing, Hunters, Slippery Rocks",Maint. by Operations.  Rubbish problems.,Judd Memorial Loop Trail,1330.71201330537
27,OA 13 035,Y,Oahu,13,Honolulu,1978,1.29999995,1200,Foot,Manoa Falls Trail,Pauoa Flats-reservoir overlook,Easy,"Mild, Wet","Foot, Bicycle","Hike, Nature Study",Parking,None,"Cliff, Footing, Rock, Hunter, Landslide, Narow trl","Makiki-Tantalus cplx, Maint by Operation",Aihualama Trail,1864.09070902403
28,OA 13 025,Y,Oahu,13,Honolulu,Unknown,0.69999999,500,2-Wheel Drive,"DOFAW Baseyard, Makiki Forest Area",Makiki Valley Trail,Easy,Mild,Foot,"Hike, Nature Study, Stream","Parking, Bridge, Toilet, Water, Bench",None,"Footing, Rocks, Hunters, Landslides",Makiki-Tantalus complex,Kanealole Trail,1170.27204793178
29,OA 01 013,Y,Oahu,01,"Waianae, Waialua",Unknown,2,500,2-Wheel Drive,Forest Reserve Road,Mokuleia firebreak (Mauka) Rd.,Moderate,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt","Parking, camp, Table, Shelter","Private Access, permit","Blind corner, cliff, footing, fire, hunters",Permit-DOFAW,Kuaokala Trail,4084.39751035378
30,OA 01 006,Y,Oahu,01,Waialua,Unknown,2.5,1600,2-Wheel Drive,Behind Dillingham AFB-West Gate,Kealia Rd to F.R. Mauka Rd,Moderate,"Hot, Dry","Foot, bike, 4WD above switchback","Hike, Nature Study, Hunt Jeep, Sensitive, Scenic","Parking, Tables, Shelter",None,"Blind corner, cliff, footing, rocks, fire","Windy, access to Peacock Flat via Kealia",Kealia Access Road,2081.98147573956
31,OA 01 010,Y,Oahu,01,Waialua,Unknown,3.5,1200,2-Wheel Drive,End Mokuleia Access-FAA Road,Mokuleia firebreak (mauka) Rd.,Moderate,Mild,"Foot, 4WD","Hike, Nature Study, Hunt, Bio. Sens.",Camping,New access road open,"Footing, Hunters",Trail goes through Pahole NAR,Mokuleia Trail,4006.9461041784
32,OA 01 009,Y,Oahu,01,Waialua,Unknown,4.19999981,1400,2-Wheel Drive,Farrington Highway-Mokuleia Ranch,Mokuleia FR Mauka Rd past Nike site,Easy,Mild,"Foot, Bicycle",None,None,"Private Access, Permit",None,"Acc. Mokuleia,Makua Rim,Peacock Flat Tr",Mokuleia Forest Reserve Access Road,5825.10024816315
33,OA 08 017,Y,Oahu,08,Koolauloa,1878,2.5,700,2-Wheel Drive,End of Maakua Road,Same as start,Easy,"Mild, Wet","Foot, Bicycle","Hike, Nature Study, Hunt, Archery, Stream","Bench, Camp, Parking, Shelter",None,"Footing, Flash Flood, Hunters, Narrow Trail",Camping permit - DOFAW,Hauula Loop Trail,3340.41252560349
34,OA 09 010,Y,Oahu,09,Ewa,Unknown,1,300,2-Wheel Drive,"Waimano Home Gate, left of fence","Waimano upper, .5 mile from start",Easy,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt, Stream, Swim","Parking, Camping",None,"Footing, Floods, Hunters",Camping permit-DOFAW,Lower Waimano Trail,1278.53680805961
35,OA 13 024,Y,Oahu,13,Honolulu,1981,1.5,100,Foot,Judd Memorial Loop,Pauoa Flats Trail,Easy,Mild,Foot,Hike,None,None,Cliffs,Honolulu Mauka Complex,Nuuanu Trail,2486.77936607116
36,OA 13 028,Y,Oahu,13,Honolulu,pre1900,0.75,500,Foot,Manoa Cliffs Trail,Puu Konahuanui Trail,Easy,"Mild, Wet",Foot,Hike,None,None,Footing,None,Pauoa Flats Trail,1161.23723060805
37,OA 13 027,Y,Oahu,13,Honolulu,Unknown,0.75,500,2-Wheel Drive,Tantalus Drive,"Pauoa Flats, Nuuanu Lookout",Easy,Wet,Foot,Hike,None,None,"Cliff, Footing","Makiki-Tantalus cplx, Mtn bike problems",Puu Ohia Trail,1306.53518623426
38,OA 13 049,Y,Oahu,13,Honolulu,Unknown,0.25,100,2-Wheel Drive,Tantalus Drive,Same as start,Easy,Wet,Foot,Hike,None,None,None,None,Tantalus Arboretum Trail,287.888592133643
39,OA 13 034,Y,Oahu,13,Honolulu,Unknown,0.69999999,500,2-Wheel Drive,"DOFAW Baseyard, Makiki Forest Area","Ualakaa, Moleka, Makiki Valley Trls",Easy,Mild,Foot,"Hike, Nature Study, Stream, Cultural","Bench, Bridge, Parking, toilet, water, table",None,"Cliff, Footing, Rocks, Uneven Surface",Makiki-Tantalus complex,Maunalaha Trail,1220.04592424222
58,MA 09 004,Y,Maui,09 12,Makawao,1960's,0.60000002,200,4-Wheel Drive,Polipoli State Park,Haleakala Ridge Trail,Moderate,Cold,Foot,"Hike, Hunt","Toilet, Potable Water, Tables, Cabins, Camping",None,Hunters, ,Polipoli Trail,835.765027346316
40,OA 13 032,Y,Oahu,13,Honolulu,Unknown,1.10000002,200,2-Wheel Drive,Tantalus Drive,East side of Round Top Drive,Easy,Mild,Foot,"Hike, Nature Study, Stream","Bench, Bridge, Parking",None,"Footing, Rocks, Hunters, Landslides, Narrow Trail","Makiki-Tantalus cplx, Maint by Operation",Makiki Valley Trail,2042.38611295708
41,OA 13 033,Y,Oahu,13,Honolulu,1980,0.52999997,400,2-Wheel Drive,.1 mile past Ualakaa State Park,Makiki Valley Trail,Easy,Mild,Foot,Hike,"Bench, Water, Parking Toilets, Trash Cans",None,"Footing, Hunters, Narrow Trails, Uneven Surface","Makiki-Tantalus cplx, Maint by Operation",Ualakaa Trail,901.29943027619
42,OA 15 002,Y,Oahu,15,Koolaupoko,Unknown,1,400,2-Wheel Drive,Kumuhau Rd.,Aniani Nui Ridge,Moderate,Mild,"Foot, Bicycle, Horse","Hike, Nature Study",None,None,Footing,Maunawili section under construction,Maunawili-Waimanalo Access Road,1246.2766788816
43,OA 04 010,Y,Oahu,04 08,"Waialua, Wahiawa",Unknown,6,800,2-Wheel Drive,Kamehameha Hwy-Dole Pineapple Stand,End of Jeep Road,N/A,Mild,4WD,None,None,"Private Access, Time, Permit",None,"Permit-DOFAW, Dole, Waialua Sugar, Army",Poamoho Hele Loa Road,9410.29714763792
44,OA 13 031,Y,Oahu,13,Honolulu,1979,0.75,300,2-Wheel Drive,Round Top Drive,Makiki Valley Trail,Easy,Mild,Foot,Hike,None,None,"Cliff, Footing","Makiki-Tantalus cplx, Maint by Operation",Moleka Trail,1014.87409324383
45,MO 03 011,Y,Molokai,03 04,Molokai,Unknown,9.80000019,3250,2-Wheel Drive,Hwy 46 3.5 mi NW of Kaunakakai,Past Waikolu Lookout-Makakupaia Rd.,N/A,"Mild, Wet","Foot, 4WD, Horse","Hike, Nature Study, Hunt, Culture","Toilets, Camping, Picnic, Parking",None,"Hunters, Cliffs, Floods, Footing","Camp permit-DOFAW, amenities at lookout",Maunahui-Makakupaia Access Road,15476.289163158
46,MO 04 005,Y,Molokai,04,Molokai,Unknown,2.0999999,500,4-Wheel Drive,"Main FR Rd., Waikolu lookout",End of ridge- 3000 ft elev.,N/A,"Mild, Wet",4WD,Hunt,None,None,"Hunters, Footing, Floods", ,Kaulahuki Road,2755.01899178119
47,MO 04 004,Y,Molokai,04,Molokai,Unknown,3.29999995,500,4-Wheel Drive,Main F.R. Rd-before Waikolu lookout,Kahanui Flats,N/A,"Mild, Wet",4WD,Hunt,None,None,"Hunters, Footing, Floods",Waikolu Gulch east of road. 2 branch rds,Kahanui Road Complex,3161.88674038554
49,MA 13 003,Y,Maui,13,Hana,1960's,0.80000001,200,2-Wheel Drive,3.5 mi past Kailua Village to Hana,Grassy clearing on hill,Moderate,Mild,Foot,Hike,"Table, Shelter, Fire Pit",Day,Footing,None,Waikamoi Ridge Trail,975.676253143967
50,MA 13 005,Y,Maui,13,Hana,1971,0.60000002,40,2-Wheel Drive,"Hana Hwy, Keanae Arboretum",Taro patch auwai intake,Easy,Mild,Foot,"Hike, Nature Study, Stream, Archaeology, Culture",None,Day,"Cliff, Footing, Flash Flood, Waves",None,Keanae Arboretum Walk,906.868672011514
51,MA 16 002,Y,Maui,16,Hana,Ancient,3,200,2-Wheel Drive,Hana Dump Road at Kainalimu Bay,Just before Hana Airport,Moderate,Mild,Foot,"Hike, Hunt, Beach, Archaeology, Dive, Fish","Camping, Cabins, Tables, Toilets",Day,Footing,Also called Hana-Honokalani Trail,Ke Alaloa O Maui (Piilani Trail),5343.90902108531
52,MA 09 001,Y,Maui,09 12 11,Makawao,1970's,4.4000001,1220,Foot,Ranger cabin,Cattle guard on Polipoli Road,Moderate,Cold,Foot,"Hike, Hunt",Shelter,Day,Hunters, ,Boundary Trail,5165.74182661131
94,HA 55 001,Y,Hawaii,55,South Hilo,Unknown,2,550,2-Wheel Drive,19.8 mi point on Saddle Road,17.4 mi point on Saddle Road,Easy,Cool,Foot,"Scenery, Nature Study",Parking at turn out 17.4 mi point,None,Weather, ,Kaumana Trail,2103.81718215941
95,HA 47 002,Y,Hawaii,47  55  56,"S Hilo, N Hilo",Ancient,3.70000005,398,2-Wheel Drive,Saddle Road 22.4 mi W of Hilo,Kulani to M. Loa Observatory Road,Moderate,Cold,"Foot, Horse","Hike, Bio. Sens., Nature Study, Culture",Parking,None,"Hunters, Uneven Surface",Cold climate with rain and fog,Puu Oo Horse Trail,11262.0041275131
53,MA 12 001,Y,Maui,12,Makawao,1970's,1.39999998,800,4-Wheel Drive,Kula Forest Access Road,Joins Boundary Trail,Moderate,Cold,Foot,"Hike, Hunt",Shelter,Day,Hunters, ,Lower Waiohuli Trail,1868.18351926282
54,MA 09 003,Y,Maui,09,Makawao,1960's,0.5,250,Foot,0.8 mi point of Redwood Trail,Plum Trail,Moderate,Cold,Foot,"Hike, Hunt",Shelter,Day,Hunters, ,Tie Trail,570.303342696532
55,MA 09 002,Y,Maui,09,Makawao,1930's,1.70000005,600,4-Wheel Drive,Ranger cabin Polipoli State Park,Haleakala Ridge Trail,Moderate,Cold,Foot,"Hike, Hunt",Shelter,Day,Hunters, ,Plum Trail,2050.46773351094
56,MA 12 002,Y,Maui,09,Makawao,1960's,1.70000005,900,4-Wheel Drive,Polipoli State Park entrance,Ranger's Cabin,Moderate,Cold,"Foot, Bike","Hike, Hunt","Table, Toilets, Cabin, Camping",None,"Hunters, Uneven Surface", ,Redwood Trail,2040.22807212144
57,MA 12 004,Y,Maui,12,Makawao,1960's,6.80000019,2600,2-Wheel Drive,Near end of Science City Road,Haleakala Ridge Trail,Moderate,Cold,"Foot, Bike, 4WD","Hike, Hunt, 4WD",None,Day,"Hunters, High Elevation",DOFAW management access road,Skyline Road,10709.3504371981
59,MA 12 003,Y,Maui,12 09,Makawao,1960's,1.60000002,850,4-Wheel Drive,Skyline switchback,Forest Reserve boundary shelter,Moderate,Cold,Foot,"Hike, Hunt, Nature Study",Shelter,Day,Hunters, ,Haleakala Ridge Trail,1433.54968356045
60,MA 11 021,Y,Maui,11,Makawao,1970's,3,400,4-Wheel Drive,Waiakoa Gate at Kula For.Res. Bound,Waiakoa Gate at Kula ForRes Boundar,Moderate,Cold,"Foot, Bicycle","Hike, Hunt",None,Day,Hunters,Trail only partially maintained.,Waiakoa Loop Trail,3905.34565206577
96,HA 47 004,Y,Hawaii,47  48  39,North Hilo & Hamakua, ,17.5,4440,2-Wheel Drive,27.5 mile point on Saddle Rd.,M.Loa Solar Observatory 11150'elev.,Easy,"Dry, Cold","Foot, Bicycle, 2WD","Hike, Nature Study, Bio. Sens.",Parking,None,"Blind Corner, High Elevation, Sun Vehicle Traffic",See Memo,Mauna Loa Observatory Access Road,27786.5794237518
97,HA 27 001,Y,Hawaii,27 37,Hamakua,1960,4.19999981,1760,2-Wheel Drive,Saddle Rd. Kilohana Hunter Check St,Puu Laau Cabin,Easy,Cool/Cold,"Foot, Horse, Bicycle, 4WD","Hunt, Scenery, Nature Study, Archery, Hike","Parking, Toilets",None,"Hunters, Blind Corner, High Elevation, Footing", ,Puu Laau Road,6677.59155287884
98,HA 46 006,Y,Hawaii,46,"Hamakua, N Hilo",1960,32,2750,2-Wheel Drive,"Hale Pohaku V Ctr, Mauna Kea S P",Puu Laau Cabin Forest Rsv boundary,Moderate,Cool/Cold,"Foot, Horse, Bicycle, 4WD","Hike, Hunt, Nature Study, Bio. Sens., 4WD","Visitors Center, Toilets, Water",None,"Blind Corner, High Elevation, Hunters, Sun", ,Mauna Kea Access Road,51580.2657456023
61,MA 11 023,Y,Maui,11,Makawao, ,1.10000002,0,2-Wheel Drive,0.25 mi on Olinda Road,Ridge top over Central Valley, , ,Foot,"Hike, Nature Study",None, ,Footing,No Data Sheet submitted,Waihou Spring Trail,1663.71649881171
62,HA 53 001,Y,Hawaii,53,North Hilo,Ancient,5.5,3240,2-Wheel Drive,Hilo Frst Rsv 0.16 mi E Kaula Gulch,Keanakolu Humuula Ahpa,Difficult,"Mild, Cold","Foot, Horse","Hike, Bio.Sens., Nature Study, Hunt",Cabins,Private Access,"Hunters, Footing",Require permit from Hamakua Sugar,Humuula Trail,9252.86549650582
63,HA 03 001,Y,Hawaii,03,North Kohala,Ancient,0.25,30,2-Wheel Drive,Coast Grd. Loran Station,Fenceline at S property boundary,Easy,Dry,Foot,"Hike, Beach, Fish, Nature Study","Toilet, Parking, Camping, Cabiins, Potable Water",None,"Cliffs, Footing, Flash Floods, Stream, Sun",Very windy. Trail on cliffs.,Ala Kahakai Trail (Puakea Bay Sector),510.484758846679
64,HA 72 001,Y,Hawaii,72 71 67,"Puna, S Hilo",Ancient,2.5,20,2-Wheel Drive,N end Beach Rd Haw Paradise Prk Sub,Kekuanaoa Ave.,Moderate,"Hot, Wet",Foot,"Hike, Nature Study, Archaeology, Fish, Beach","Parking, Interpretive Signs",Closed,"Shorebreak, High Surf, Currents, Rocks", ,Puna Trail (North End Section),3944.71813695643
65,MA 11 001,Y,Maui,11,Makawao,2008,0,0, , , , , , , , , , , ,Kahakapao Loop Trail,8399.21986008113
99,HA 15 001,Y,Hawaii,15,South Kohala,Ancient,3.9000001,15,2-Wheel Drive,Puako Boat Ramp,"Makaiwa Bay, Mauna Lani Resort",Moderate,Hot,Foot,"Hike, Beach, Fish, Nature Study","Toilet, Parking, Camping, Cabins, Potable water",See Memo,"Cliff, Footing, Flash Floods, Stream, Sun",See Memo,Ala Kahakai Trail (Puako-Makaiwa Sector),4014.52406355857
66,MA 11 024,Y,Maui,11,Makawao, ,0,0, , , , , , , , , , , ,Paahao Road,1596.7417420255
67,MA 11 026,Y,Maui,11,Makawao, ,0,0, , , , , , , , , , , ,Kahakapao Ravine Trail,767.048387109666
68,MA 11 027,Y,Maui,11,Makawao, ,0,0, , , , , , , , , , , ,Renegade Trail,2263.07744646181
69,OA 13 026,Y,Oahu,13,Honolulu,1979,0.75,600,2-Wheel Drive,Tantalus Drive,Makiki Valley Trail,Easy,Mild,Foot,Hike,None,None,"Footing, Cliffs",Makiki-Tantalus complex,Nahuina Trail,867.355542375006
70,KA 01 026,Y,Kauai,01,Waimea,1967,6.30000019,240,4-Wheel Drive,Papaalai-Mana Ridge Road,Kauhao Ridge Road,N/A,Mild,"Foot, Bicycle, Horse, 4WD","Hike, Hunt, Nature Study","Shelters, Tables, Toilets",Day,Hunters,Excellent mild biking.,Contour Road,9877.82744748417
100,HA 53 002,Y,Hawaii,53,North Hilo,Unknown,0.2,120,4-Wheel Drive,Keanakolu Rd. 17 mi N MK Rd jct,Kaluakauka Laupahoehoe Frst Risv,Moderate,"Wet, Cold",Foot,"Hike, Culture, Nature Study",None,None,"Footing, Hunters",Leading to death site of David Douglass,Drs Pit (Kaluakauka Trail),267.207316344631
104,OA 15 015,Y,Oahu,15,Honolulu,Unknown,1.5,300,2-Wheel Drive,End of Kalaau Road,Trail ends .4 past FR boundary,Easy,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt, Stream",Parking,None,"Footing, Floods, Hunters, Uneven Surface",Rough trail follows stream to falls,Kuliouou Valley Trail,934.55056191579
71,KA 01 021,Y,Kauai,01,Waimea,1960s,3.5,320,4-Wheel Drive,1.25 mi on Contour Road,Lapa Ridge,N/A,Mild,"Foot, Bicycle, Horse, 4WD","Hike, Hunt, Nature Study, 4WD","Shelters, Tables, Toilets",Day,Hunters,Slippery when wet.,Lapa Ridge Road,4096.94077797091
72,KA 01 024,Y,Kauai,01 02,Waimea,Unknown,8,2410,2-Wheel Drive,"11.1 mi on Hwy 550, Waimea C. SP",1050-foot elev. on Mana Ridge,N/A,Mild,"Foot, Bicycle, Horse, 4WD","Hunt, 4WD",None,"Permits, Private Access, Seasonal",Hunters,Hunting license required for entry.,Papaalai-Mana Ridge Road,12779.3707389538
73,KA 01 019,Y,Kauai,01,Waimea,1940s,6.5,2180,2-Wheel Drive,"12.0 mi on Hwy 550, Waimea C. SP",End of Haeleele Ridge over Na Pali,N/A,"Mild, Dry","Foot, Bicycle, Horse, 4WD","Hike, Hunt, Nature Study",None,Day,"Hunters, Cliffs",Length for both forks.  Slippery.,Haeleele Ridge Road,10311.1980664292
74,KA 01 018,Y,Kauai,01,Waimea,1930s,5.30000019,1960,2-Wheel Drive,"12.0 mi on Hwy 550, Waimea C. SP",Polihale Ridge,N/A,Mild,"Foot, Bicycle, Horse, 4WD","Hike, Hunt",None,Day,Hunters,Suitable for hardy biking.,Polihale Ridge Road,7957.55196061347
75,KA 01 017,Y,Kauai,01,Waimea,1930s,4.30000019,1917,2-Wheel Drive,13.1 mi on Hwy 550,1400-foot elev. on Kaaweiki Ridge,N/A,"Mild, Dry","Foot, Bicycle, Horse, 4WD","Hike, Hunt, Nature Study",None,Day,"Hunters, Cliffs",Hunter access road.  Slippery.,Kaaweiki Road,6566.5327824637
